country,country_code,row_type,continent
Sub-Saharan Africa (IDA & IBRD countries),TSS,Aggregate,N/A - Aggregate
Trinidad and Tobago,TTO,Country,America
Tunisia,TUN,Country,Africa
Turkiye,TUR,Country,Asia
Tuvalu,TUV,Country,Oceania
Tanzania,TZA,Country,Africa
Uganda,UGA,Country,Africa
Ukraine,UKR,Country,Europe
Upper middle income,UMC,Aggregate,N/A - Aggregate
Uruguay,URY,Country,America
United States,USA,Country,America
Uzbekistan,UZB,Country,Asia
St. Vincent and the Grenadines,VCT,Country,America
"Venezuela, RB",VEN,Country,America
British Virgin Islands,VGB,Country,America
Virgin Islands (U.S.),VIR,Country,America
Viet Nam,VNM,Country,Asia
Vanuatu,VUT,Country,Oceania
World,WLD,Aggregate,N/A - Aggregate
Samoa,WSM,Country,Oceania
Kosovo,XKX,Country,Europe
"Yemen, Rep.",YEM,Country,Asia
South Africa,ZAF,Country,Africa
Zambia,ZMB,Country,Africa
Zimbabwe,ZWE,Country,Africa
